class_id,class_name,precision,recall,ap50,ap50_95,season,band
0,ap_metal,0.7989007489663921,0.868421052631579,0.8749692848061471,0.36080619409916737,spring,optical
1,ap_plastic,0.7492739902349241,0.7692307692307693,0.8353429480707885,0.4314851724291674,spring,optical
2,at_metal,0.961264177392205,0.9777777777777777,0.9790833333333333,0.6622120954047609,spring,optical
3,at_plastic,0.9766458105379104,0.9911111111111112,0.9937345132743364,0.7347325635286056,spring,optical
